DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,AL,2013,9625.4,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,AL,2014,9968.6,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,AL,2015,10264.1,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,AL,2016,10719.9,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,AL,2017,11559.0,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,AL,2018,12828.1,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,AL,2019,13754.2,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,AL,2020,13310.4,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,AL,2021,15157.4,p
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,AL,2022,17939.7,e
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,AT,2013,323910.2,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,AT,2014,333146.1,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,AT,2015,344269.2,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,AT,2016,357608.0,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,AT,2017,369361.9,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,AT,2018,385274.1,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,AT,2019,397169.5,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,AT,2020,381042.5,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,AT,2021,406148.7,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,AT,2022,447652.7,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,BA,2013,13691.8,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,BA,2014,13988.3,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,BA,2015,14791.1,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,BA,2016,15474.3,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,BA,2017,16260.5,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,BA,2018,17354.2,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,BA,2019,18296.5,
