,new_car,stock_car,income,gdp_1000_eur,population_1000,clusters
21266,24.0,124.0,2231.0,13.7542,2854.191,1
21286,239.0,362.0,2523.0,13.3104,2837.848,1
21307,654.0,2070.0,22073.0,323.91020000000003,8479.823,1
21327,1281.0,3386.0,23211.0,333.1461,8546.356,1
21347,1677.0,5032.0,23260.0,344.2692,8642.699,1
21367,3826.0,9073.0,23694.0,357.608,8736.668,1
21387,5433.0,14618.0,24752.0,369.36190000000005,8797.566,1
21407,6757.0,20831.0,25176.0,385.2741,8840.521,1
21427,9242.0,29523.0,25729.0,397.1695,8879.92,1
21447,15972.0,44507.0,26555.0,381.0425,8916.864,1
21467,33366.0,76539.0,27428.0,406.1487,8955.797,1
21492,501.0,919.0,21483.0,392.88,11159.407,1
21512,1167.0,1792.0,21705.0,403.00329999999997,11209.057,1
21532,1360.0,2871.0,21654.0,416.70140000000004,11274.196,1
21552,2061.0,4368.0,22295.0,430.08529999999996,11331.422,1
21572,2717.0,8552.0,22733.0,445.0501,11375.158,1
21592,3763.0,9244.0,23686.0,460.0508,11427.054,1
21612,8892.0,15338.0,24608.0,478.67609999999996,11488.98,1
21632,15044.0,23983.0,25672.0,459.8274,11538.604,1
21652,22774.0,40851.0,25855.0,502.5211,11586.195,1
21672,23.0,3369.0,5157.0,71.077,6877.743,1
21692,1393.0,2687.0,40791.0,531.7291,8089.346,1
21712,1948.0,4443.0,38162.0,548.0145,8188.649,1
21732,3882.0,7534.0,39586.0,625.5327,8282.396,1
21752,3525.0,10727.0,44253.0,621.7651,8373.338,1
21772,4929.0,14543.0,43741.0,615.7763,8451.84,1
21792,5411.0,19185.0,43013.0,614.3044,8514.329,1
21812,13197.0,28722.0,41259.0,644.4431999999999,8575.28,1
21832,19766.0,43405.0,43051.0,648.9133,8638.167,1
21852,32041.0,70240.0,44753.0,676.7751999999999,8704.546,1
21872,8.0,6.0,15873.0,18.0403,861.939,1
21892,1.0,15.0,14400.0,17.4828,852.504,1
21912,4.0,23.0,13793.0,17.944200000000002,847.664,1
21932,7.0,40.0,14020.0,19.0138,851.561,1
21952,18.0,87.0,14497.0,20.3124,859.519,1
21972,5.0,114.0,15336.0,21.674,870.068,1
21992,58.0,167.0,16215.0,23.1765,881.952,1
22012,42.0,240.0,16704.0,21.8965,892.006,1
22032,78.0,333.0,16686.0,24.019,900.356,1
22052,3172.0,9051.0,10625.0,238.2495,10505.772,1
22072,6051.0,12000.0,19582.0,2811.35,80645.605,1
22092,8522.0,19000.0,19733.0,2927.43,80982.5,1
22112,12363.0,26000.0,20668.0,3026.18,81686.611,1
22132,11410.0,34022.0,21275.0,3134.74,82348.669,1
22152,25056.0,53861.0,21920.0,3267.16,82657.002,1
22172,36062.0,83175.0,22713.0,3365.45,82905.782,1
22192,63281.0,136617.0,23515.0,3473.26,83092.962,1
22212,194163.0,309083.0,26008.0,3405.43,83160.871,0
22232,355961.0,618460.0,24946.0,3601.75,83196.078,0
22252,533.0,1536.0,27444.0,258.7427,5614.932,1
22272,1564.0,2919.0,27861.0,265.757,5643.475,1
22292,1265.0,7888.0,28364.0,273.01759999999996,5683.483,1
22312,1265.0,8662.0,28665.0,283.10970000000003,5728.01,1
22332,691.0,8765.0,29383.0,294.8082,5764.98,1
22352,1544.0,10037.0,30104.0,302.3287,5793.636,1
22372,5501.0,15507.0,30717.0,309.5264,5814.422,1
22392,14218.0,31886.0,30681.0,311.7597,5831.404,1
22412,24876.0,66610.0,32088.0,336.7188,5856.733,1
22432,130.0,708.0,6579.0,18.9108,1317.997,1
22452,331.0,1067.0,7217.0,20.0482,1314.545,1
22472,30.0,1116.0,7889.0,20.631400000000003,1315.407,1
22492,32.0,1156.0,8645.0,21.7479,1315.79,1
22512,26.0,1191.0,9384.0,23.833599999999997,1317.384,1
22532,83.0,1254.0,10524.0,25.9322,1321.977,1
22552,77.0,1382.0,11461.0,27.7647,1326.898,1
22572,344.0,1773.0,12228.0,27.465,1329.522,1
22592,487.0,2456.0,12623.0,31.4449,1330.932,1
22772,1004.0,2832.0,13269.0,1032.608,46480.882,1
22792,2620.0,5243.0,13352.0,1078.092,46444.832,1
22812,3354.0,8411.0,13681.0,1114.42,46484.062,1
22832,6880.0,15318.0,14203.0,1162.492,46593.236,1
22852,10566.0,26083.0,14785.0,1203.859,46797.754,1
22872,12975.0,39453.0,15015.0,1245.513,47134.837,1
22892,18407.0,56885.0,16043.0,1117.989,47365.655,1
22912,24093.0,65684.0,15892.0,1206.842,47415.794,1
22932,50.0,188.0,23272.0,204.321,5438.972,1
22952,183.0,386.0,23702.0,206.897,5461.512,1
22972,243.0,657.0,23763.0,211.385,5479.531,1
22992,223.0,889.0,23650.0,217.518,5495.303,1
23012,502.0,1538.0,23987.0,226.301,5508.214,1
23032,776.0,2500.0,24544.0,233.462,5515.525,1
23052,1897.0,4830.0,24879.0,239.858,5521.606,1
23072,4245.0,9959.0,25490.0,238.038,5529.543,1
23092,10153.0,23497.0,25456.0,250.594,5541.017,1
23112,8781.0,17154.0,20924.0,2117.189,65771.309,1
23132,10567.0,25950.0,21199.0,2149.765,66312.067,1
23152,17269.0,41901.0,21415.0,2198.432,66548.272,1
23172,21758.0,61338.0,21713.0,2234.129,66724.104,1
23192,24910.0,82488.0,21960.0,2297.242,66918.02,1
23212,30945.0,106495.0,22220.0,2363.306,67158.348,1
23232,42262.0,141357.0,22562.0,2437.635,67388.001,1
23252,109597.0,244975.0,22143.0,2310.469,67571.107,0
23272,160710.0,402669.0,22732.0,2500.87,67764.304,0
23332,80.0,163.0,5453.0,45.2579,4207.993,1
23352,66.0,233.0,5726.0,47.338699999999996,4172.441,1
23372,55.0,285.0,6210.0,49.9859,4129.853,1
23392,182.0,461.0,6659.0,52.7472,4090.87,1
